t,deaths,cases,cases_cum,nCFR,cases_adj,cases_adj_cum,date
410,1333,30967,7795654,0.043045822972842054,222166.66666666666,45674166.66666667,2021-02-13
411,1510,32568,7828222,0.04636452959960698,251666.66666666666,45925833.333333336,2021-02-14
412,2028,46458,7874680,0.043652331137801884,338000.0,46263833.333333336,2021-02-15
413,1546,35868,7910548,0.0431024868963979,257666.66666666666,46521500.0,2021-02-16
414,1702,38615,7949163,0.04407613621649618,283666.6666666667,46805166.666666664,2021-02-17
415,2023,43886,7993049,0.046096705099576175,337166.6666666667,47142333.33333333,2021-02-18
416,1863,45590,8038639,0.040864224610660235,310500.0,47452833.33333333,2021-02-19
417,2631,50740,8089379,0.05185258178951518,438500.0,47891333.33333333,2021-02-20
418,1802,38193,8127572,0.047181420679182046,300333.3333333333,48191666.666666664,2021-02-21
419,2323,53007,8180579,0.04382440055087064,387166.6666666667,48578833.33333333,2021-02-22
420,1956,43394,8223973,0.04507535604000553,326000.0,48904833.33333333,2021-02-23
421,2079,42954,8266927,0.048400614610979185,346500.0,49251333.33333333,2021-02-24
422,2456,49289,8316216,0.04982856215382742,409333.3333333333,49660666.666666664,2021-02-25
423,2403,52807,8369023,0.04550533073266802,400500.0,50061166.666666664,2021-02-26
424,2216,45925,8414948,0.04825258573761568,369333.3333333333,50430500.0,2021-02-27
425,2976,54982,8469930,0.0541268051362264,496000.0,50926500.0,2021-02-28
426,4904,82231,8552161,0.059636876603713924,817333.3333333334,51743833.333333336,2021-03-01
427,2921,54449,8606610,0.05364653161674227,486833.3333333333,52230666.66666667,2021-03-02
428,2914,52557,8659167,0.05544456494853207,485666.6666666666,52716333.333333336,2021-03-03
429,2860,53242,8712409,0.05371699034596747,476666.6666666666,53193000.0,2021-03-04
430,3464,66165,8778574,0.05235396357590871,577333.3333333334,53770333.333333336,2021-03-05
431,2892,54134,8832708,0.05342298740163298,482000.0,54252333.333333336,2021-03-06
432,2962,51368,8884076,0.05766235788817941,493666.6666666666,54746000.0,2021-03-07
433,3718,70008,8954084,0.05310821620386241,619666.6666666666,55365666.666666664,2021-03-08
434,3152,57170,9011254,0.05513381143956621,525333.3333333334,55891000.0,2021-03-09
435,4606,69283,9080537,0.06648095492400734,767666.6666666666,56658666.666666664,2021-03-10
436,3062,54067,9134604,0.056633436292008066,510333.3333333333,57169000.0,2021-03-11
437,3443,64144,9198748,0.05367610376652532,573833.3333333334,57742833.333333336,2021-03-12
438,3104,54864,9253612,0.05657626130067075,517333.3333333333,58260166.66666667,2021-03-13
439,3109,52950,9306562,0.058715769593956565,518166.6666666666,58778333.333333336,2021-03-14
