t,deaths,cases,cases_cum,nCFR,case_adj,cases_adj_cum,date
223,216,682,88452,0.31671554252199413,36000.0,4894333.333333335,2020-08-10
224,116,408,88860,0.28431372549019607,19333.333333333332,4913666.666666668,2020-08-11
225,120,408,89268,0.29411764705882354,20000.0,4933666.666666668,2020-08-12
226,127,439,89707,0.28929384965831434,21166.666666666668,4954833.333333335,2020-08-13
227,119,458,90165,0.259825327510917,19833.333333333332,4974666.666666668,2020-08-14
228,138,460,90625,0.3,23000.0,4997666.666666668,2020-08-15
229,124,395,91020,0.3139240506329114,20666.666666666668,5018333.333333335,2020-08-16
230,119,435,91455,0.2735632183908046,19833.333333333332,5038166.666666668,2020-08-17
231,122,453,91908,0.2693156732891832,20333.333333333332,5058500.000000001,2020-08-18
232,122,414,92322,0.2946859903381642,20333.333333333332,5078833.333333334,2020-08-19
233,161,547,92869,0.2943327239488117,26833.333333333332,5105666.666666667,2020-08-20
234,125,433,93302,0.28868360277136257,20833.333333333332,5126500.0,2020-08-21
235,121,414,93716,0.2922705314009662,20166.666666666668,5146666.666666667,2020-08-22
236,105,385,94101,0.2727272727272727,17500.0,5164166.666666667,2020-08-23
237,125,467,94568,0.2676659528907923,20833.333333333332,5185000.0,2020-08-24
238,127,468,95036,0.27136752136752135,21166.666666666668,5206166.666666667,2020-08-25
239,130,442,95478,0.29411764705882354,21666.666666666668,5227833.333333334,2020-08-26
240,117,407,95885,0.28746928746928746,19500.0,5247333.333333334,2020-08-27
241,140,483,96368,0.2898550724637681,23333.333333333332,5270666.666666667,2020-08-28
242,105,373,96741,0.28150134048257375,17500.0,5288166.666666667,2020-08-29
243,108,350,97091,0.30857142857142855,18000.0,5306166.666666667,2020-08-30
244,134,431,97522,0.3109048723897912,22333.333333333332,5328500.0,2020-08-31
245,171,636,98158,0.2688679245283019,28500.0,5357000.0,2020-09-01
246,114,418,98576,0.2727272727272727,19000.0,5376000.0,2020-09-02
247,132,409,98985,0.32273838630806845,22000.0,5398000.0,2020-09-03
248,126,426,99411,0.29577464788732394,21000.0,5419000.0,2020-09-04
249,131,434,99845,0.30184331797235026,21833.333333333332,5440833.333333333,2020-09-05
250,101,338,100183,0.2988165680473373,16833.333333333332,5457666.666666666,2020-09-06
251,113,429,100612,0.2634032634032634,18833.333333333332,5476499.999999999,2020-09-07
252,106,397,101009,0.26700251889168763,17666.666666666668,5494166.666666666,2020-09-08
253,113,348,101357,0.32471264367816094,18833.333333333332,5512999.999999999,2020-09-09
254,135,902,102259,0.14966740576496673,22500.0,5535499.999999999,2020-09-10
255,99,358,102617,0.276536312849162,16500.0,5551999.999999999,2020-09-11
256,83,316,102933,0.2626582278481013,13833.333333333334,5565833.333333332,2020-09-12
257,97,333,103266,0.2912912912912913,16166.666666666666,5581999.999999999,2020-09-13
258,121,415,103681,0.29156626506024097,20166.666666666668,5602166.666666666,2020-09-14
259,106,373,104054,0.28418230563002683,17666.666666666668,5619833.333333333,2020-09-15
260,87,322,104376,0.2701863354037267,14500.0,5634333.333333333,2020-09-16
261,100,339,104715,0.2949852507374631,16666.666666666668,5651000.0,2020-09-17
262,98,345,105060,0.28405797101449276,16333.333333333332,5667333.333333333,2020-09-18
263,79,286,105346,0.2762237762237762,13166.666666666666,5680500.0,2020-09-19
264,119,426,105772,0.2793427230046948,19833.333333333332,5700333.333333333,2020-09-20
265,82,303,106075,0.2706270627062706,13666.666666666666,5714000.0,2020-09-21
266,84,298,106373,0.28187919463087246,14000.0,5728000.0,2020-09-22
267,101,316,106689,0.31962025316455694,16833.333333333332,5744833.333333333,2020-09-23
268,76,270,106959,0.2814814814814815,12666.666666666666,5757500.0,2020-09-24
