,cases,deaths,cases_cum,case_adj,case_adj_cum,date
233,5591,120,1168100,20000.0,12747999.999999998,2020-10-16
234,5039,120,1173139,20000.0,12787999.999999998,2020-10-17
235,7038,165,1180177,27500.0,12842999.999999998,2020-10-18
236,5009,109,1185186,18166.666666666668,12879333.333333332,2020-10-19
237,4406,114,1189592,19000.0,12917333.333333332,2020-10-20
238,4010,100,1193602,16666.666666666668,12950666.666666666,2020-10-21
239,5832,96,1199434,16000.0,12982666.666666666,2020-10-22
240,5919,118,1205353,19666.666666666668,13022000.0,2020-10-23
241,4625,79,1209978,13166.666666666666,13048333.333333334,2020-10-24
242,4647,121,1214625,20166.666666666668,13088666.666666668,2020-10-25
243,5458,131,1220083,21833.333333333332,13132333.333333334,2020-10-26
244,3988,99,1224071,16500.0,13165333.333333334,2020-10-27
245,5949,148,1230020,24666.666666666668,13214666.666666668,2020-10-28
246,5084,90,1235104,15000.0,13244666.666666668,2020-10-29
247,4458,94,1239562,15666.666666666666,13276000.000000002,2020-10-30
248,4157,78,1243719,13000.0,13302000.000000002,2020-10-31
249,4261,70,1247980,11666.666666666666,13325333.333333336,2020-11-01
250,5622,132,1253602,22000.0,13369333.333333336,2020-11-02
251,3371,70,1256973,11666.666666666666,13392666.66666667,2020-11-03
252,3219,68,1260192,11333.333333333334,13415333.333333336,2020-11-04
253,5133,99,1265325,16500.0,13448333.333333336,2020-11-05
254,3952,96,1269277,16000.0,13480333.333333336,2020-11-06
255,4297,90,1273574,15000.0,13510333.333333336,2020-11-07
256,6371,149,1279945,24833.333333333332,13560000.000000002,2020-11-08
257,4242,82,1284187,13666.666666666666,13587333.333333336,2020-11-09
258,3147,74,1287334,12333.333333333334,13612000.000000002,2020-11-10
259,3010,72,1290344,12000.0,13636000.000000002,2020-11-11
260,4743,89,1295087,14833.333333333332,13665666.666666668,2020-11-12
261,3919,86,1299006,14333.333333333334,13694333.333333334,2020-11-13
262,3734,78,1302740,13000.0,13720333.333333334,2020-11-14
263,4002,87,1306742,14500.0,13749333.333333334,2020-11-15
264,4192,93,1310934,15500.0,13780333.333333334,2020-11-16
265,5210,126,1316144,21000.0,13822333.333333334,2020-11-17
266,2902,62,1319046,10333.333333333334,13843000.0,2020-11-18
267,3917,70,1322963,11666.666666666666,13866333.333333334,2020-11-19
268,4653,83,1327616,13833.333333333334,13894000.0,2020-11-20
269,4127,75,1331743,12500.0,13919000.0,2020-11-21
270,5082,95,1336825,15833.333333333332,13950666.666666666,2020-11-22
271,4547,81,1341372,13500.0,13977666.666666666,2020-11-23
272,3651,75,1345023,12500.0,14002666.666666666,2020-11-24
273,3861,89,1348884,14833.333333333332,14032333.333333332,2020-11-25
274,4936,95,1353820,15833.333333333332,14063999.999999998,2020-11-26
275,5850,114,1359670,19000.0,14101999.999999998,2020-11-27
276,3757,83,1363427,13833.333333333334,14129666.666666664,2020-11-28
277,3903,78,1367330,13000.0,14155666.666666664,2020-11-29
278,4234,74,1371564,12333.333333333334,14180333.33333333,2020-11-30
279,3161,62,1374725,10333.333333333334,14200999.999999996,2020-12-01
280,3652,96,1378377,16000.0,14232999.999999996,2020-12-02
281,4207,73,1382584,12166.666666666666,14257333.33333333,2020-12-03
282,3618,78,1386202,13000.0,14283333.33333333,2020-12-04
283,3670,85,1389872,14166.666666666666,14311666.666666664,2020-12-05
284,3703,73,1393575,12166.666666666666,14335999.999999998,2020-12-06
285,3836,77,1397411,12833.333333333334,14361666.666666664,2020-12-07
286,2661,57,1400072,9500.0,14380666.666666664,2020-12-08
287,5061,143,1405133,23833.333333333332,14428333.33333333,2020-12-09
288,3792,96,1408925,16000.0,14460333.33333333,2020-12-10
289,4361,78,1413286,13000.0,14486333.33333333,2020-12-11
290,3800,73,1417086,12166.666666666666,14510666.666666664,2020-12-12
291,4241,105,1421327,17500.0,14545666.666666664,2020-12-13
292,3966,78,1425293,13000.0,14571666.666666664,2020-12-14
293,3313,78,1428606,13000.0,14597666.666666664,2020-12-15
294,3402,102,1432008,17000.0,14631666.666666664,2020-12-16
295,4815,92,1436823,15333.333333333332,14662333.33333333,2020-12-17
296,6038,139,1442861,23166.666666666668,14708666.666666664,2020-12-18
297,4169,98,1447030,16333.333333333332,14741333.33333333,2020-12-19
298,4343,92,1451373,15333.333333333332,14771999.999999996,2020-12-20
299,5137,108,1456510,18000.0,14807999.999999996,2020-12-21
300,4565,105,1461075,17500.0,14842999.999999996,2020-12-22
301,6335,152,1467410,25333.333333333332,14893666.666666662,2020-12-23
302,7354,131,1474764,21833.333333333332,14937333.333333328,2020-12-24
303,6929,130,1481693,21666.666666666668,14980666.666666662,2020-12-25
304,7228,128,1488921,21333.333333333332,15023333.333333328,2020-12-26
305,7186,135,1496107,22500.0,15068333.333333328,2020-12-27
306,10990,206,1507097,34333.333333333336,15136999.999999994,2020-12-28
307,6350,110,1513447,18333.333333333332,15173666.66666666,2020-12-29
308,6667,138,1520114,23000.0,15219666.66666666,2020-12-30
309,9386,148,1529500,24666.666666666668,15268999.999999994,2020-12-31
310,7276,136,1536776,22666.666666666668,15314333.333333328,2021-01-01
311,8398,168,1545174,28000.0,15370333.333333328,2021-01-02
312,7403,131,1552577,21833.333333333332,15413999.999999994,2021-01-03
313,8029,148,1560606,24666.666666666668,15463333.333333328,2021-01-04
314,7215,136,1567821,22666.666666666668,15508666.666666662,2021-01-05
315,6373,121,1574194,20166.666666666668,15548999.999999996,2021-01-06
316,10401,221,1584595,36833.333333333336,15622666.666666662,2021-01-07
317,11547,276,1596142,46000.0,15714666.666666662,2021-01-08
318,7848,190,1603990,31666.666666666664,15777999.999999996,2021-01-09
319,7544,153,1611534,25500.0,15828999.999999996,2021-01-10
320,8218,159,1619752,26500.0,15881999.999999996,2021-01-11
321,7454,157,1627206,26166.666666666668,15934333.33333333,2021-01-12
322,6492,144,1633698,24000.0,15982333.33333333,2021-01-13
323,8915,191,1642613,31833.333333333332,16045999.999999996,2021-01-14
324,7949,185,1650562,30833.333333333332,16107666.666666662,2021-01-15
325,7552,172,1658114,28666.666666666668,16164999.999999996,2021-01-16
326,9681,241,1667795,40166.666666666664,16245333.33333333,2021-01-17
327,7941,148,1675736,24666.666666666668,16294666.666666664,2021-01-18
328,7150,127,1682886,21166.666666666668,16336999.999999998,2021-01-19
329,6049,151,1688935,25166.666666666668,16387333.333333332,2021-01-20
330,8320,188,1697255,31333.333333333332,16449999.999999998,2021-01-21
331,7679,192,1704934,32000.0,16513999.999999998,2021-01-22
332,6340,139,1711274,23166.666666666668,16560333.333333332,2021-01-23
333,6782,146,1718056,24333.333333333332,16608999.999999998,2021-01-24
334,7566,168,1725622,28000.0,16664999.999999998,2021-01-25
335,5187,139,1730809,23166.666666666668,16711333.333333332,2021-01-26
336,6909,221,1737718,36833.333333333336,16785000.0,2021-01-27
337,6332,133,1744050,22166.666666666668,16829333.333333332,2021-01-28
338,5797,156,1749847,26000.0,16881333.333333332,2021-01-29
339,6394,159,1756241,26500.0,16934333.333333332,2021-01-30
340,6209,171,1762450,28500.0,16991333.333333332,2021-01-31
341,6813,177,1769263,29500.0,17050333.333333332,2021-02-01
342,6485,158,1775748,26333.333333333332,17103000.0,2021-02-02
343,5863,167,1781611,27833.333333333332,17158666.666666668,2021-02-03
344,7856,193,1789467,32166.666666666664,17223000.0,2021-02-04
345,5702,152,1795169,25333.333333333332,17273666.666666668,2021-02-05
346,6952,172,1802121,28666.666666666668,17331000.0,2021-02-06
347,7213,172,1809334,28666.666666666668,17388333.333333332,2021-02-07
348,13032,392,1822366,65333.33333333333,17519000.0,2021-02-08
349,9580,226,1831946,37666.666666666664,17594333.333333332,2021-02-09
350,9472,215,1841418,35833.333333333336,17666000.0,2021-02-10
351,11378,241,1852796,40166.666666666664,17746333.333333332,2021-02-11
352,10588,264,1863384,44000.0,17834333.333333332,2021-02-12
353,8630,193,1872014,32166.666666666664,17898666.666666664,2021-02-13
354,8691,238,1880705,39666.666666666664,17977999.999999996,2021-02-14
355,10086,254,1890791,42333.333333333336,18062666.666666664,2021-02-15
356,8726,213,1899517,35500.0,18133666.666666664,2021-02-16
357,11360,377,1910877,62833.33333333333,18259333.333333332,2021-02-17
358,10093,219,1920970,36500.0,18332333.333333332,2021-02-18
359,8751,192,1929721,32000.0,18396333.333333332,2021-02-19
360,8007,200,1937728,33333.333333333336,18463000.0,2021-02-20
361,8370,234,1946098,39000.0,18541000.0,2021-02-21
362,10948,298,1957046,49666.666666666664,18640333.333333332,2021-02-22
363,7657,215,1964703,35833.333333333336,18712000.0,2021-02-23
364,7568,177,1972271,29500.0,18771000.0,2021-02-24
365,10222,260,1982493,43333.333333333336,18857666.666666668,2021-02-25
366,8145,185,1990638,30833.333333333332,18919333.333333336,2021-02-26
367,10678,319,2001316,53166.666666666664,19025666.666666668,2021-02-27
368,8058,188,2009374,31333.333333333332,19088333.333333336,2021-02-28
369,8448,206,2017822,34333.333333333336,19157000.000000004,2021-03-01
370,6920,196,2024742,32666.666666666664,19222333.333333336,2021-03-02
371,6890,234,2031632,39000.0,19300333.333333336,2021-03-03
372,10645,288,2042277,48000.0,19396333.333333336,2021-03-04
373,7552,190,2049829,31666.666666666664,19459666.666666668,2021-03-05
374,7464,212,2057293,35333.333333333336,19530333.333333336,2021-03-06
375,8416,229,2065709,38166.666666666664,19606666.666666668,2021-03-07
376,7520,178,2073229,29666.666666666664,19666000.0,2021-03-08
377,6851,178,2080080,29666.666666666664,19725333.333333332,2021-03-09
378,6629,197,2086709,32833.333333333336,19791000.0,2021-03-10
379,13502,491,2100211,81833.33333333333,19954666.666666668,2021-03-11
380,8614,323,2108825,53833.333333333336,20062333.333333336,2021-03-12
381,7865,235,2116690,39166.666666666664,20140666.666666668,2021-03-13
382,7863,266,2124553,44333.333333333336,20229333.333333336,2021-03-14
383,9482,283,2134035,47166.666666666664,20323666.666666668,2021-03-15
384,6955,216,2140990,36000.0,20395666.666666668,2021-03-16
385,6845,239,2147835,39833.333333333336,20475333.333333336,2021-03-17
386,9843,285,2157678,47500.0,20570333.333333336,2021-03-18
387,7869,264,2165547,44000.0,20658333.333333336,2021-03-19
388,10959,415,2176506,69166.66666666667,20796666.666666668,2021-03-20
389,7544,240,2184050,40000.0,20876666.666666668,2021-03-21
